,mode,epoch,total_loss
0,train,1,0.02154901996254921
0,test,1,0.0750733781605959
0,train,2,0.014613568549975753
0,test,2,0.050421152263879776
0,train,3,0.010820274706929922
0,test,3,0.038280296605080366
0,train,4,0.008227537968195975
0,test,4,0.030375561211258173
0,train,5,0.006486140075139701
0,test,5,0.024239735677838326
0,train,6,0.005289008375257254
0,test,6,0.02026498463237658
0,train,7,0.004264312796294689
0,test,7,0.016535930248210207
0,train,8,0.003460738284047693
0,test,8,0.013765134412096813
0,train,9,0.0029781958437524736
0,test,9,0.01164634054293856
0,train,10,0.002494505839422345
0,test,10,0.009753032703883946
0,train,11,0.0020831347501371056
0,test,11,0.008033772275666706
0,train,12,0.0018262989178765565
0,test,12,0.007254817843204364
0,train,13,0.001578733790665865
0,test,13,0.006184318946907297
0,train,14,0.0013656866503879428
0,test,14,0.005469168667332269
0,train,15,0.0011792969307862222
0,test,15,0.004951919952873141
0,train,16,0.0010365653142798692
0,test,16,0.004451657026947942
0,train,17,0.0009354131470900029
0,test,17,0.003972849597630557
0,train,18,0.0008368252165382728
0,test,18,0.0034785344505507965
0,train,19,0.0007618144882144406
0,test,19,0.0030912883157725446
0,train,20,0.0006662083324044943
0,test,20,0.002748324299318483
