trialType,item,item_pt,length,syllables,node,fnode,knode,coll,fcoll,kcoll,fitem,logDice,MI,k,fitempt,,,
baseline,keep sounds,manter sons,10,2,keep,"11,071,432",1,sounds,"1,017,910",1,43,7.49,-3.58,2,0,,,
target,kick habit,chutar hábitos,9,3,kick,"761,424",1,habit,"788,402",2,2505,8.35,6.52,3,0,,,
baseline,kick love,chutar amor,8,2,kick,"761,424",1,love,"788,402",2,15,8.35,-0.87,4,0,,,
target,lift bans,levantar proibição,8,2,lift,"856,169",1,bans,"538,444",3,"9,939",9.91,8.88,5,181,,,
baseline,lift fish,levantar peixe,8,2,lift,"856,169",1,fish,"538,444",3,49,9.91,1.22,1,0,,,
target,lock doors,trancar portas,9,2,lock,"734,996",1,doors,"3,038,250",1,"17,657",9.72,7.44,2,1716,,,
baseline,lock rules,trancar regras,9,2,lock,"734,996",1,rules,"3,038,250",1,36,9.72,-1.5,3,0,,,
target,lose weight,perder peso,10,2,lose,"5,422,498",1,weight,"2,835,219",1,74300,10.17,6.73,4,11454,,,
baseline,lose goals,perder objetivos,9,2,lose,"5,422,498",1,goals,"2,835,219",1,53,10.17,-3.73,5,0,,,
target,mask smells,disfarçar cheiros,10,2,mask,"146,513",2,smells,"362,131",1,231,6.57,6.58,1,172,,,
baseline,mask time,disfarçar tempo,8,2,mask,"146,513",2,time,"362,131",1,45,6.57,4.22,2,0,,,
target,meet goals,encontrar objetivos,9,2,meet,"6,745,262",1,goals,"4,595,500",2,57372,9.02,5.34,3,0,,,
baseline,meet peace,encontrar paz,9,2,meet,"6,745,262",1,peace,"4,595,500",2,42,9.02,-5.07,4,0,,,
target,pay taxes,pagar impostos,8,3,pay,"7,102,713",1,taxes,"4,365,418",1,"94,237",10.36,6.06,5,13156,,,
baseline,pay dreams,pagar sonhos,9,2,pay,"7,102,713",1,dreams,"4,365,418",1,2,10.36,-9.47,1,0,,,
target,push boundaries,empurrar fronteiras,14,3,push,"1,931,686",1,boundaries,"947,502",3,21371,10.13,8,2,0,,,
baseline,push contests,empurrar concursos,12,3,push,"1,931,686",1,contests,"947,502",3,7,10.13,-3.58,3,0,,,
target,raise doubts,levantar dúvidas,11,2,raise,"3,813,415",1,doubts,"1,222,052",1,6802,6.62,5,4,3168,,,
baseline,raise bans,levantar proibições,9,2,raise,"3,813,415",1,bans,"1,222,052",1,1,6.62,-7.73,5,0,,,
target,read minds,ler mentes,9,2,read,"9,276,207",1,minds,"4,646,532",1,"12,877",6.65,2.71,1,856,,,
baseline,read dogs,ler cães,8,2,read,"9,276,207",1,dogs,"4,646,532",1,71,6.65,-4.79,2,0,,,
target,sell books,vender livros,9,2,sell,"4,340,136",1,books,"10,153,008",1,"24,958",7.37,3.63,3,3490,,,
baseline,sell weight,vender peso,10,2,sell,"4,340,136",1,weight,"10,153,008",1,39,7.37,-5.69,4,0,,,
target,shift blame,deslocar culpa,10,2,shift,"848,429",2,blame,"645,134",2,2354,8.13,6.56,5,0,,,
baseline,shift hints,deslocar pistas,10,2,shift,"848,429",2,hints,"645,134",2,7,8.13,-1.83,1,0,,,
target,show love,mostrar amor,8,2,show,"13,781,511",1,love,"3,718,645",1,"17,175",7.3,2.88,2,1636,,,
baseline,show beer,mostrar cerveja,8,2,show,"13,781,511",1,beer,"3,718,645",1,54,7.3,-5.44,3,0,,,
target,sing songs,cantar canções ,9,2,sing,"1,043,798",1,songs,"2,828,167",1,"66,963",11.5,8.96,4,4635,,,
baseline,sing rivers,cantar rios,10,3,sing,"1,043,798",1,rivers,"2,828,167",1,5,11.5,-4.75,5,0,,,
target,take power,tomar poder,9,2,take,"32,494,126",1,power,"9,384,562",1,"19,929",5.56,0.52,1,4812,,,
baseline,take doubts,tomar dúvidas,10,2,take,"32,494,126",1,doubts,"9,384,562",1,12,5.56,-10.18,2,0,,,
target,teach kids,ensinar crianças,9,2,teach,"3,421,325",1,kids,"3,053,494",1,"26,187",8.48,5.78,3,5520,,,
baseline,teach meetings,ensinar reuniões,13,3,teach,"3,421,325",1,meetings,"3,053,494",1,8,8.48,-5.9,4,0,,,
target,walk dogs ,andar cães,9,2,walk,"3,471,332",1,dogs,"2,934,904",1,12059,8.96,4.7,5,2,,,
baseline,walk windows,andar janelas,11,3,walk,"3,471,332",1,windows,"2,934,904",1,5,8.96,-6.54,1,0,,,
target,wash dishes,limpar loiças,10,3,wash,"761,377",1,dishes,"901,307",2,"7,441",9.69,7.89,2,5098,,,
baseline,wash taxes,limpar impostos,9,3,wash,"761,377",1,taxes,"901,307",2,0,9.69,NA,3,0,,,
target,waste time,desperdiçar tempo,9,2,waste,"543,672",1,time,"40,497,079",1,63654,8.54,5.99,4,1659,,,
baseline,waste pain,desperdiçar dor,9,2,waste,"543,672",1,pain,"40,497,079",1,19,8.54,-5.72,5,0,,,
