,mode,epoch,total_loss
0,train,1,0.021278132684528828
0,test,1,0.07229328574612737
0,train,2,0.014521450735628605
0,test,2,0.049795621540397406
0,train,3,0.010714392177760601
0,test,3,0.038557308027520776
0,train,4,0.008223969023674726
0,test,4,0.029824425757396966
0,train,5,0.006526203593239188
0,test,5,0.024230216338764876
0,train,6,0.005238648736849427
0,test,6,0.019787120982073247
0,train,7,0.004274328239262104
0,test,7,0.01645849147462286
0,train,8,0.0034715570509433746
0,test,8,0.014031038124812767
0,train,9,0.0028837257414124906
0,test,9,0.011600842524785548
0,train,10,0.002483593358192593
0,test,10,0.009902098536258563
0,train,11,0.0021149075182620436
0,test,11,0.008498452356434427
0,train,12,0.0018020723364315927
0,test,12,0.007356415502727032
0,train,13,0.0015659381460864097
0,test,13,0.006429091285099275
0,train,14,0.0013772036181762815
0,test,14,0.005710659737815149
0,train,15,0.0012263970711501315
0,test,15,0.005186317408515606
0,train,16,0.0010607061994960532
0,test,16,0.004577370578772388
0,train,17,0.0009794996440177783
0,test,17,0.004023090630653314
0,train,18,0.0008533697255188599
0,test,18,0.003518874196743127
0,train,19,0.0007581948157167062
0,test,19,0.003207990448572673
0,train,20,0.000676408366416581
0,test,20,0.0029313628328964114
