,mode,epoch,total_loss
0,train,1,0.02160444064065814
0,test,1,0.07336850767023861
0,train,2,0.014904847834259272
0,test,2,0.052546137711033225
0,train,3,0.011113142594695091
0,test,3,0.03816518792882562
0,train,4,0.008243068470619619
0,test,4,0.030609847977757454
0,train,5,0.006555855856277049
0,test,5,0.02509782853303477
0,train,6,0.005257878336124122
0,test,6,0.020341021299827844
0,train,7,0.004413043847307563
0,test,7,0.017207469907589257
0,train,8,0.0035329072270542383
0,test,8,0.014302624826086685
0,train,9,0.0029719413723796606
0,test,9,0.01204102172050625
0,train,10,0.002547134179621935
0,test,10,0.01072695478796959
0,train,11,0.0021497351117432117
0,test,11,0.00900799225200899
0,train,12,0.0018657289037946612
0,test,12,0.0075665156182367355
0,train,13,0.0015525937196798623
0,test,13,0.006448522908613086
0,train,14,0.0014134611847111955
0,test,14,0.005609708285192028
0,train,15,0.0012191850400995463
0,test,15,0.004860898479819298
0,train,16,0.0010686163004720584
0,test,16,0.004338345672294963
0,train,17,0.0009584920044289902
0,test,17,0.003975315332354512
0,train,18,0.0008549563935957849
0,test,18,0.003601945732953027
0,train,19,0.0007584801423945464
0,test,19,0.0033074561943067238
0,train,20,0.0006888093193992972
0,test,20,0.0028857297293143347
