,mode,epoch,total_loss
0,train,1,0.021266302093863487
0,test,1,0.07355191535316408
0,train,2,0.014776531606912613
0,test,2,0.05254507018253207
0,train,3,0.01082119275815785
0,test,3,0.03814719326328486
0,train,4,0.00835661415476352
0,test,4,0.030976237205322832
0,train,5,0.006509717088192701
0,test,5,0.024482677574269474
0,train,6,0.005366894998587668
0,test,6,0.020171408308669925
0,train,7,0.004290205077268183
0,test,7,0.016982516448479146
0,train,8,0.0035746186040341854
0,test,8,0.014191045745974407
0,train,9,0.0029612271464429796
0,test,9,0.011847355810459703
0,train,10,0.0024405970762018114
0,test,10,0.010046737792436033
0,train,11,0.0021087635250296444
0,test,11,0.008470296859741211
0,train,12,0.0018421418208163232
0,test,12,0.007347280596150085
0,train,13,0.0015772114275023341
0,test,13,0.006282985938014463
0,train,14,0.0014015904162079096
0,test,14,0.0057068425812758505
0,train,15,0.0012326766882324591
0,test,15,0.005056852154666558
0,train,16,0.0010688824695535004
0,test,16,0.004403178398206364
0,train,17,0.00094793968310114
0,test,17,0.0040975048614200205
0,train,18,0.000825417460873723
0,test,18,0.003611637839640025
0,train,19,0.0007647809252375737
0,test,19,0.0032444008538732305
0,train,20,0.0006776273003197275
0,test,20,0.00301038135876297
