trialType,item,item_pt,length,syllables,node,fnode,knode,coll,coll_lemma,fcoll,kcoll,fitem,logDice,MI,k,fitempt,nodept,fnodept,collpt,collpt_lemma,fcollpt
baseline,cut fire,cortar fogo,7,2,cut,"2,952,595",1,fire,fire,"6,962,865",1,85,8.84,-3.46,2,0,cortar,503956,fogo,fogo,620294
baseline,bring boundaries,trazer fronteiras,15,3,bring,"8,820,987",1,boundaries,boundary,"1,773,706",2,9,7.55,-6.31,1,0,trazer,2646172,fronteiras,fronteira,182757
target,push boundaries,empurrar fronteiras,14,3,push,"1,931,686",1,boundaries,boundary,"947,502",3,21371,10.13,8,2,0,empurrar,167382,fronteiras,fronteira,182757
baseline,cross costs,atravesar gastos,10,2,cross,"1,233,840",1,costs,cost,"1,609,013",1,28,9.39,-1.69,5,0,atravesar,297397,gastos,gasto,368194
target,cut costs,cortar gastos,8,2,cut,"2,952,595",1,costs,cost,"6,962,865",1,"29,210",8.84,4.96,1,1769,cortar,503956,gastos,gasto,368194
baseline,hear habit,ouvir hábitos,9,3,hear,"5,410,767",1,habit,habit,"2,200,139",1,2,9.16,-8.08,1,0,ouvir,1916800,hábitos,hábito,245321
target,kick habit,chutar hábitos,9,3,kick,"761,424",1,habit,habit,"788,402",2,2505,8.35,6.52,3,0,chutar,189033,hábitos,hábito,245321
target,pay taxes,pagar impostos,8,3,pay,"7,102,713",1,taxes,tax,"4,365,418",1,"94,237",10.36,6.06,5,13156,pagar,1632402,impostos,imposto,368252
baseline,wash taxes,limpar impostos,9,3,wash,"761,377",1,taxes,tax,"901,307",2,0,9.69,NA,3,0,limpar,277397,impostos,imposto,368252
target,break windows,quebrar janelas,12,3,break,"3,741,818",1,windows,window,"3,968,460",1,"9,753",8.14,3.85,3,48,quebrar,499115,janelas,janela,139691
baseline,walk windows,andar janelas,11,3,walk,"3,471,332",1,windows,window,"2,934,904",1,5,8.96,-6.54,1,0,andar,1312827,janelas,janela,139691
baseline,drink books,beber livros,10,2,drink,"1,073,722",1,books,book,"805,681",2,34,10.04,-0.21,4,0,beber,927124,livros,livro,1046350
target,sell books,vender livros,9,2,sell,"4,340,136",1,books,book,"10,153,008",1,"24,958",7.37,3.63,3,3490,vender,1337375,livros,livro,1046350
baseline,earn dishes,ganhar loiças,10,3,earn,"1,776,175",2,dishes,dish,"1,107,410",1,0,7.59,NA,5,0,ganhar,2386894,louças,louça,14807
target,wash dishes,limpar loiças,10,3,wash,"761,377",1,dishes,dish,"901,307",2,"7,441",9.69,7.89,2,5098,limpar,277397,louças,louça,14807
baseline,foot minds,custear mentes,9,2,foot,"46,707",1,minds,mind,"2,092,414",1,0,8.85,NA,2,0,custear,53372,mentes,mente,69404
target,read minds,ler mentes,9,2,read,"9,276,207",1,minds,mind,"4,646,532",1,"12,877",6.65,2.71,1,856,ler,2995453,mentes,mente,69404
baseline,lose goals,perder objetivos,9,2,lose,"5,422,498",1,goals,goal,"2,835,219",1,53,10.17,-3.73,5,0,perder,2924065,objetivos,objetivo,766601
target,meet goals,encontrar objetivos,9,2,meet,"6,745,262",1,goals,goal,"4,595,500",2,57372,9.02,5.34,3,0,encontrar,5032618,objetivos,objetivo,766601
target,bring peace,trazer paz,10,2,bring,"8,820,987",1,peace,peace,"1,773,706",2,20605,7.55,4.85,5,3516,trazer,2646172,paz,paz,803885
baseline,meet peace,encontrar paz,9,2,meet,"6,745,262",1,peace,peace,"4,595,500",2,42,9.02,-5.07,4,0,encontrar,5032618,paz,paz,803885
target,eat fish,comer peixe,7,2,eat,"3,391,832",1,fish,fish,"1,755,161",1,"20,725",8.46,6.25,1,2556,comer,1168276,peixe,peixe,443412
baseline,lift fish,levantar peixe,8,2,lift,"856,169",1,fish,fish,"538,444",3,49,9.91,1.22,1,0,levantar,805399,peixe,peixe,443412
target,lose weight,perder peso,10,2,lose,"5,422,498",1,weight,weight,"2,835,219",1,74300,10.17,6.73,4,11454,perder,2924065,peso,peso,1165632
baseline,sell weight,vender peso,10,2,sell,"4,340,136",1,weight,weight,"10,153,008",1,39,7.37,-5.69,4,0,vender,1337375,peso,peso,1165632
baseline,break jokes,quebrar piadas,10,2,break,"3,741,818",1,jokes,joke,"3,968,460",1,7,8.14,-6.6,4,0,quebrar,499115,piadas,piada,53291
target,crack jokes,rachar piadas,11,2,crack,"351,064",2,jokes,joke,"444,212",1,3225,9.53,8.82,2,0,rachar,30750,piadas,piada,53291
target,drop hints,largar pistas,9,2,drop,"1,954,153",1,hints,hint,"393,353",3,2161,7.52,5.95,2,0,largar,161918,pistas,pista,118266
baseline,shift hints,deslocar pistas,10,2,shift,"848,429",2,hints,hint,"645,134",2,7,8.13,-1.83,1,0,deslocar,230646,pistas,pista,118266
target,fight poverty,combater pobreza,12,4,fight,"2,257,896",1,poverty,poverty,"784,669",3,"5,538",7.59,6.1,2,0,combater,390240,pobreza,pobreza,224202
baseline,hold poverty,agarrar pobreza,11,4,hold,"8,596,845",1,poverty,poverty,"3,796,808",1,14,10.33,-6.73,5,0,agarrar,132347,pobreza,pobreza,224202
baseline,freeze power,congelar poder,11,3,freeze,"408,661",1,power,power,"4,515,041",2,30,6.64,-1.49,4,0,congelar,120662,poder,poder,1841578
target,take power,tomar poder,9,2,take,"32,494,126",1,power,power,"9,384,562",1,"19,929",5.56,0.52,1,4812,tomar,2916205,poder,poder,1841578
baseline,drive doors,dirigir portas,10,2,drive,"3,990,724",1,doors,door,"4,204,306",1,30,8.66,-4.67,1,0,dirigir,860409,portas,porta,419379
target,lock doors,trancar portas,9,2,lock,"734,996",1,doors,door,"3,038,250",1,"17,657",9.72,7.44,2,1716,trancar,77955,portas,porta,419379
target,lift bans,levantar proibição,8,2,lift,"856,169",1,bans,ban,"538,444",3,"9,939",9.91,8.88,5,181,levantar,805399,proibições,proibição,14286
baseline,raise bans,levantar proibições,9,2,raise,"3,813,415",1,bans,ban,"1,222,052",1,1,6.62,-7.73,5,0,levantar,805399,proibições,proibição,14286
target,bend rules,dobrar regras,9,2,bend,"433,802",2,rules,rule,"4,509,077",1,2541,6.1,4.83,1,0,dobrar,159670,regras,regra,765780
baseline,lock rules,trancar regras,9,2,lock,"734,996",1,rules,rule,"3,038,250",1,36,9.72,-1.5,3,0,trancar,77955,regras,regra,765780
target,hold meetings,agarrar reuniões,12,3,hold,"8,596,845",1,meetings,meeting,"3,796,808",1,174292,10.33,6.87,4,0,agarrar,132347,reuniões,reunião,347910
baseline,teach meetings,ensinar reuniões,13,3,teach,"3,421,325",1,meetings,meeting,"3,053,494",1,8,8.48,-5.9,4,0,ensinar,763371,reuniões,reunião,347910
target,cross rivers,atravesar rios,11,3,cross,"1,233,840",1,rivers,river,"1,609,013",1,"11,389",9.39,6.97,4,4104,atravesar,297397,rios,rio,251478
baseline,sing rivers,cantar rios,10,3,sing,"1,043,798",1,rivers,river,"2,828,167",1,5,11.5,-4.75,5,0,cantar,535722,rios,rio,251478
baseline,build secrets,construir segredos,12,2,build,"8,137,945",1,secrets,secret,"5,281,006",1,21,9.1,-6.54,3,0,construir,1511819,segredos,segredo,119878
target,hide secrets,esconder segredos,11,3,hide,"1,191,741",1,secrets,secret,"709,566",2,2892,7.86,6.23,2,1134,esconder,539118,segredos,segredo,119878
target,chase dreams,perseguir sonhos,11,2,chase,"322,773",2,dreams,dream,"1,677,944",1,"5,327",8.11,7.75,5,0,perseguir,198401,sonhos,sonho,356973
baseline,pay dreams,pagar sonhos,9,2,pay,"7,102,713",1,dreams,dream,"4,365,418",1,2,10.36,-9.47,1,0,pagar,1632402,sonhos,sonho,356973
target,hear sounds,ouvir sons,10,2,hear,"5,410,767",1,sounds,sound,"2,200,139",1,"21,598",9.16,5.31,5,6491,ouvir,1916800,sons,son,145478
baseline,keep sounds,manter sons,10,2,keep,"11,071,432",1,sounds,sound,"1,017,910",1,43,7.49,-3.58,2,0,manter,3245677,sons,son,145478
baseline,mask time,disfarçar tempo,8,2,mask,"146,513",2,time,time,"362,131",1,45,6.57,4.22,2,0,disfarçar,106391,tempo,tempo,7307417
target,waste time,desperdiçar tempo,9,2,waste,"543,672",1,time,time,"40,497,079",1,63654,8.54,5.99,4,1659,desperdiçar,76778,tempo,tempo,7307417
