item,fitem,score,type,verb,noun,stimuli_grammatical,stimuli_plural
forge wheel,6475,7.4,prod,forge,wheel,forge a wheel,forge wheels
forge signature,6865,8,collocation,forge,signature,forge a signature,forge signatures
fuel fire,9418,7.3,idiom,fuel,fire,fuel the fire,fuel fires
fuel car,4448,5,prod,fuel,car,fuel the car,fuel cars
fuel passion,4510,7,collocation,fuel,passion,fuel one's passion,fuel passion
grasp nettle,2108,7.9,idiom,grasp,nettle,grasp the nettle,grasp nettles
grasp hand,7746,5.7,prod,grasp,hand,grasp one's hand,grasp hands
grasp meaning,6358,7.1,collocation,grasp,meaning,grasp the meaning,grasp meanings
hold key,59256,7.2,idiom,hold,key,hold the key,hold keys
hold hand,168395,8.4,prod,hold,hand,hold one's hand,hold hands
hold breath,113164,8.2,collocation,hold,breath,hold one's breath,hold breath
hurt eye,8773,5.9,idiom,hurt,eye,hurt the eyes,hurt eyes
hurt child,11455,5.5,prod,hurt,child,hurt a child,hurt children
hurt business,11397,5.9,collocation,hurt,business,hurt a business,hurt business
ignite fire,9306,7.5,idiom,ignite,fire,ignite a fire,ignite fires
ignite flame,2986,7.9,prod,ignite,flame,ignite a flame,ignite flames
ignite debate,2905,6.6,collocation,ignite,debate,ignite a debate,ignite debates
inflate bubble,2333,7.8,idiom,inflate,bubble,inflate the bubble,inflate bubbles
inflate balloon,4946,9.4,prod,inflate,balloon,inflate a balloon,inflate balloons
inflate ego,2090,8,collocation,inflate,ego,inflate one's ego,inflate egos
kick bucket,6257,8.2,idiom,kick,bucket,kick the bucket,kick buckets
kick door,9371,6.7,prod,kick,door,kick the door,kick doors
kick habit,10490,8.1,collocation,kick,habit,kick the habit,kick habits
level field,4459,5.9,idiom,level,field,level the field,level fields
level ground,2181,5.3,prod,level,ground,level the ground,level grounds
level charge,9233,7.3,collocation,level,charge,level a charge,level charges
lift finger,20457,8.2,idiom,lift,finger,lift a finger,lift fingers
lift hand,29716,7.4,prod,lift,hand,lift a hand,lift hands
lift ban,32844,9.4,collocation,lift,ban,lift the ban,lift bans
lock horn,10804,8.4,idiom,lock,horn,lock horns,lock horns
lock gate,11288,8.2,prod,lock,gate,lock the gate,lock gates
lock eye,26037,7.5,collocation,lock,eye,lock eyes,lock eyes
muzzle ox,602,9,idiom,muzzle,ox,muzzle the ox,muzzle oxen
muzzle dog,673,3.7,prod,muzzle,dog,muzzle the dog,muzzle dogs
muzzle press,709,6,collocation,muzzle,press,muzzle the press,muzzle press
navigate world,18410,6.9,idiom,navigate,world,navigate the world,navigate worlds
navigate water,12267,6.5,prod,navigate,water,navigate waters,navigate waters
navigate challenge,12323,6.7,collocation,navigate,challenge,navigate a challenge,navigate challenges
pad pocket,2019,7.3,idiom,pad,pocket,pad one's pocket,pad pockets
pad cushion,1230,7.5,prod,pad,cushion,pad a cushion,pad cushions
pad resume,1157,6.7,collocation,pad,resume,pad a resume,pad resumes
pay price,278026,9.7,idiom,pay,price,pay the price,pay prices
pay debt,84234,8.3,prod,pay,debt,pay the debt,pay debts
pay visit,96351,8.5,collocation,pay,visit,pay a visit,pay visits
pick brain,13281,7.5,idiom,pick,brain,pick one's brain,pick brains
pick winner,25931,8.3,prod,pick,winner,pick a winner,pick winners
pick fight,25712,8.4,collocation,pick,fight,pick a fight,pick fights
pierce veil,4674,9.5,idiom,pierce,veil,pierce the veil,pierce veils
pierce skin,5027,7,prod,pierce,skin,pierce one's skin,pierce skins
pierce darkness,1797,7.6,collocation,pierce,darkness,pierce darkness,pierce darkness
push button,90119,9.6,idiom,push,button,push the button,push buttons
push people,29182,5.5,prod,push,people,push people,push people
push agenda,28530,8.4,collocation,push,agenda,push an agenda,push agendas
raise eyebrow,126474,9.3,idiom,raise,eyebrow,raise an eyebrow,raise eyebrows
raise hand,134259,8.6,prod,raise,hand,raise a hand,raise hands
raise child,168326,8.7,collocation,raise,child,raise a child,raise children
run race,65736,7.6,idiom,run,race,run a race,run races
run marathon,42041,7.2,prod,run,marathon,run a marathon,run marathons
run country,42155,6.7,collocation,run,country,run a country,run countries
scrape bottom,5734,8.7,idiom,scrape,bottom,scrape the bottom,scrape bottoms
scrape skin,1675,5.4,prod,scrape,skin,scrape the skin,scrape skin
scrape living,1286,5.9,collocation,scrape,living,scrape a living,scrape livings
share bed,15565,6,idiom,share,bed,share a bed,share beds
share food,17706,5.8,prod,share,food,share food,share food
share joy,17250,6.2,collocation,share,joy,share joy,share joy
shatter record,9028,6.3,idiom,shatter,record,shatter the record,shatter records
shatter glass,5273,7.3,prod,shatter,glass,shatter glass,shatter glass
shatter myth,2665,7.4,collocation,shatter,myth,shatter the myth,shatter myths
shift burden,14511,8.2,idiom,shift,burden,shift the burden,shift burdens
shift position,13395,6.5,prod,shift,position,shift one's position,shift positions
shift blame,11839,8.4,collocation,shift,blame,shift the blame,shift blame
silence critic,9062,9.6,idiom,silence,critic,silence the critics,silence critics
silence voice,12799,7.6,prod,silence,voice,silence one's voice,silence voices
silence gene,3129,7.1,collocation,silence,gene,silence a gene,silence genes
skip town,4297,6.3,idiom,skip,town,skip town,skip town
skip rope,4595,7.7,prod,skip,rope,skip rope,skip ropes
skip breakfast,8437,8.2,collocation,skip,breakfast,skip breakfast,skip breakfast
slap label,2004,6.3,idiom,slap,label,slap a label,slap labels
slap face,5516,6.4,prod,slap,face,slap one's  face,slap faces
slap tariff,2277,8,collocation,slap,tariff,slap a tariff,slap tariffs
slash bill,1279,4.4,idiom,slash,bill,slash the bill,slash bills
slash throat,2869,8.1,prod,slash,throat,slash one's throat,slash throats
slash spending,4420,8.1,collocation,slash,spending,slash spending,slash spending
smear opponent,933,5.6,idiom,smear,opponent,smear an opponent,smear opponents
smear blood,2322,6.4,prod,smear,blood,smear blood,smear blood
smear reputation,1085,5.4,collocation,smear,reputation,smear one's reputation,smear reputation
smell rose,7425,9.4,idiom,smell,rose,smell the roses,smell roses
smell perfume,2919,8.2,prod,smell,perfume,smell the perfume,smell perfumes
smell fear,2087,5.8,collocation,smell,fear,smell fear,smell fears
soften blow,10244,9.4,idiom,soften,blow,soften the blow,soften blows
soften skin,6229,7.3,prod,soften,skin,soften skin,soften skin
soften tone,1969,6.3,collocation,soften,tone,soften one's tone,soften tones
sow seed,57012,10.9,idiom,sow,seed,sow the seed,sow seeds
sow crop,5292,7.9,prod,sow,crop,sow the crop,sow crops
sow confusion,3504,7.7,collocation,sow,confusion,sow confusion,sow confusions
spark fire,5462,6.5,idiom,spark,fire,spark a fire,spark fires
spark flame,1100,5.7,prod,spark,flame,spark a flame,spark flames
spark panic,1203,6.1,collocation,spark,panic,spark panic,spark panics
spew venom,2067,9.4,idiom,spew,venom,spew venom,spew venom
spew lava,1017,8.7,prod,spew,lava,spew lava,spew lava
spew hate,2021,8.8,collocation,spew,hate,spew hate,spew hate
spill bean,18162,10.4,idiom,spill,bean,spill the beans,spill beans
spill beer,2737,6.9,prod,spill,beer,spill the beer,spill beers
spill secret,2935,6.6,collocation,spill,secret,spill the secret,spill secrets
spin wheel,25453,9.5,idiom,spin,wheel,spin one's wheels,spin wheels
spin yarn,10358,9.6,prod,spin,yarn,spin yarn,spin yarn
spin tale,8646,8.3,collocation,spin,tale,spin a tale,spin tales
spread seed,7216,6.7,idiom,spread,seed,spread the seed,spread seeds
spread butter,3074,5.8,prod,spread,butter,spread butter,spread butter
spread terror,3270,6,collocation,spread,terror,spread terror,spread terror
stifle voice,1886,4.9,idiom,stifle,voice,stifle one's voice,stifle voices
stifle yawn,2819,9.5,prod,stifle,yawn,stifle a yawn,stifle yawns
stifle dissent,2974,9.1,collocation,stifle,dissent,stifle dissent,stifle dissent
stimulate brain,6316,7.3,idiom,stimulate,brain,stimulate the brain,stimulate brains
stimulate cell,11511,7.4,prod,stimulate,cell,stimulate a cell,stimulate cells
stimulate economy,28332,8.8,collocation,stimulate,economy,stimulate the economy,stimulate economies
stir pot,13006,9.4,idiom,stir,pot,stir the pot,stir pots
stir mixture,9045,8.7,prod,stir,mixture,stir a mixture,stir mixtures
stir controversy,6065,8.6,collocation,stir,controversy,stir controversy,stir controversies
strain ear,2727,7.2,idiom,strain,ear,strain one's ear,strain ears
strain muscle,3831,7.5,prod,strain,muscle,strain a muscle,strain muscles
strain relation,5144,7.5,collocation,strain,relation,strain relations,strain relations
strike gold,11563,7.8,idiom,strike,gold,strike gold,strike gold
strike target,9230,6.9,prod,strike,target,strike a target,strike targets
strike pose,13132,8.6,collocation,strike,pose,strike a pose,strike poses
sweeten pot,3461,8,idiom,sweeten,pot,sweeten the pot,sweeten pots
sweeten milk,2791,7.5,prod,sweeten,milk,sweeten the milk,sweeten milk
sweeten deal,8402,6.5,collocation,sweeten,deal,sweeten the deal,sweeten deals
taste blood,5479,7,idiom,taste,blood,taste blood,taste blood
taste flavor,4555,7.2,prod,taste,flavor,taste the flavor,taste flavors
taste success,4956,5.9,collocation,taste,success,taste success,taste success
throw money,43659,7.3,idiom,throw,money,throw money,throw money
throw rock,33109,8,prod,throw,rock,throw a rock,throw rocks
throw party,58685,8.5,collocation,throw,party,throw a party,throw parties
twist arm,11204,7.6,idiom,twist,arm,twist one's arm,twist arms
twist ankle,5585,9.1,prod,twist,ankle,twist an ankle,twist ankles
twist word,6271,5.2,collocation,twist,word,twist one's word,twist words
unearth treasure,1465,7.1,idiom,unearth,treasure,unearth treasure,unearth treasures
unearth fossil,748,7.1,prod,unearth,fossil,unearth a fossil,unearth fossils
unearth talent,1111,5.1,collocation,unearth,talent,unearth talent,unearth talent
unleash hell,2366,6.8,idiom,unleash,hell,unleash hell,unleash hells
unleash dog,2534,5.4,prod,unleash,dog,unleash a dog,unleash dogs
unleash fury,3432,8.5,collocation,unleash,fury,unleash fury,unleash fury
unlock door,46638,9,idiom,unlock,door,unlock the door,unlock doors
unlock car,5734,5.3,prod,unlock,car,unlock the car,unlock cars
unlock potential,27122,8.5,collocation,unlock,potential,unlock potential,unlock potential
weave web,6389,7.9,idiom,weave,web,weave a web,weave webs
weave basket,7588,8.5,prod,weave,basket,weave a basket,weave baskets
weave story,15961,6.1,collocation,weave,story,weave a story,weave stories
