set,coll,related_verb,coll_freq,coll_score,prod,prod_freq,prod_score,idiom,idiom_freq,idiom_score,comments
85,slash spending,slit,4420,8.1,throat,2869,8.1,bill,1279,4.4,idiom is a bit of a stretch
86,smear reputation,streak,1085,5.4,blood,2322,6.4,opponent,933,5.6,opponent is literal
87,smell fear,sniff,2087,5.8,perfume,2919,8.2,rose,7425,9.4,
88,soften tone,cushion,1969,6.3,skin,6229,7.3,blow,10244,9.4,
89,sow confusion,plant,3504,7.7,crop,5292,7.9,seed,57012,10.9,idiom requires a PP
90,spark panic,inflame,1203,6.1,flame,1100,5.7,fire,5462,6.5,better colls for spark (spark joy)
91,spew hate,expel,2021,8.8,lava,1017,8.7,venom,2067,9.4,
92,spill secret,overturn,2935,6.6,beer,2737,6.9,bean,18162,10.4,
93,spin tale,rotate,8646,8.3,yarn,10358,9.6,wheel,25453,9.5,
94,spout nonsense,eject,4067,9.6,water,1091,3.1,,,,
95,spread terror,disperse,3270,6,butter,3074,5.8,seed,7216,6.7,
96,steer conversation,maneuver,4677,6.5,boat,4211,6.7,,,,
97,stifle dissent,suffocate,2974,9.1,yawn,2819,9.5,voice,1886,4.9,
98,stimulate economy,excite,28332,8.8,cell,11511,7.4,brain,6316,7.3,
99,stir controversy,mix,6065,8.6,mixture,9045,8.7,pot,13006,9.4,
100,strain relation,filter,5144,7.5,muscle,3831,7.5,ear,2727,7.2,
101,strike pose,punch,13132,8.6,target,9230,6.9,gold,11563,7.8,
102,swallow pride,ingest,8341,8.8,pill,8107,9.1,,,,
103,sway voter,oscillate,2692,7.4,hip,2465,8.2,,,,
104,swing election,rock,2890,6,axe,3085,8.1,,,,
105,tackle crisis,intercept,14277,8.1,player,1690,3.5,,,,
106,taste success,savor,4956,5.9,flavor,4555,7.2,blood,5479,7,
107,throw party,fling,58685,8.5,rock,33109,8,money,43659,7.3,
108,twist word,wring,6271,5.2,ankle,5585,9.1,arm,11204,7.6,
109,unearth talent,dig,1111,5.1,fossils,748,7.1,treasure,1465,7.1,
110,unleash fury,release,3432,8.5,dog,2534,5.4,hell,2366,6.8,no lit meaning for idiom
111,unlock potential,open,27122,8.5,car,5734,5.3,door,46638,9,
112,weave story,knit,15961,6.1,basket,7588,8.5,web,6389,7.9,
113,fuel passion,power,4510,7,car,4448,5,fire,9418,7.3,
114,fan fear,air,846,7.4,face,681,3.5,flame,17553,10.9,low freq
115,sweeten deal,sugarcoat,8402,6.5,milk,2791,7.5,pot,3461,8,
116,close case,shut,27515,6.5,window,46496,8.3,gap,134164,10,
117,run country,sprint,42155,6.7,marathon,42041,7.2,race,65736,7.6,
